"coursera_id","rin_community","age_group","what_is_your_gender","what_is_your_ethnicity_and_or_race_please_select_all_that_apply","what_pronouns_do_you_use","employment_status","what_is_you_approximate_monthly_income","which_certificate_s_are_you_most_interested_in","after_completion_of_the_course_which_wrap_around_supports_will_you_need","are_you_able_to_commit_10_15_hours_per_week_for_this_training","your_google_scholarship_gives_you_6_months_to_complete_your_certification_s_are_you_willing_to_commit_to_the_successful_completion_of_your_certification_s_within_this_time_constraint","this_training_is_online_please_rate_your_personal_computer_skills","are_you_a_veteran_of_the_united_states_armed_forces","join_date","latest_program_activity_date","cnt_enrollments","cnt_completions","enrolled_in_first_course","completed_first_course","completion_rate","has_recent_activity","zip_code","18_24","25_34","35_44","45_54","55","american_indian_or_alaska_native","asian","black_or_african_american","native_hawaiian_or_other_pac","white","race_prefer_not_to_say","female","male","non_binary","gender_prefer_not_to_say","data_analytics","project_management","cybersecurity","it_support","ux_design","job_referrals","resume_assistance","interview_practice","networking_opportunities","none_needed"
"dbd90c56b2f7ad9ad05900fba423076e","Traverse City","35-44","""Female""","""White / Caucasian""","""She/her""","Full-time","5400","""UX (User Experience) Design""","""Information about other training programs""","Yes","Yes",NA,NA,2025-02-03 14:05:27.501,2025-02-03 14:05:27.501,0,0,TRUE,FALSE,0,TRUE,"49686",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4f1a31beef316f972a4cd2cc131718a2","Traverse City","25-34","""Female""","""White / Caucasian""","""She/her""","Full-time","5000","""Data Analytics, Project Management""","""Referrals to job opportunities, Resume assistance""","Yes","Yes",NA,NA,2025-04-29 18:07:35.707,2025-06-30 02:34:46.511,6,5,TRUE,TRUE,0.833333333333333,TRUE,"49686",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"23e6342d22eaf4335efab6f7f1034199","Traverse City","35-44","""Female""","""White / Caucasian""","""She/her""","Full-time","4,000","""Project Management, UX (User Experience) Design""","""Referrals to job opportunities, Resume assistance, Practice interviewing""","Yes","Yes",NA,NA,2025-04-07 14:52:54.068,2025-04-07 16:06:26.203,1,0,TRUE,FALSE,0,TRUE,"49684",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"a04f4aec50af16d9af342861f51683b6","Traverse City","25-34","""Male""","""White / Caucasian""","""He/his""","Full-time","$4,300","""Data Analytics, Project Management, Cybersecurity, IT Support""","""Referrals to job opportunities""","Yes","Yes",NA,NA,2025-03-05 18:43:15.969,2025-03-06 19:23:25.043,1,0,TRUE,FALSE,0,TRUE,"49668",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ec21ebe70287b232d1dd4f1cdfa2e34c","Shenandoah Valley","18-24","""Male""","""Black or African American""","""He/his""",NA,"3000","""Cybersecurity""","""Referrals to job opportunities, Job seeking skills training""","Yes","Yes",NA,NA,2025-04-21 17:48:55.361,2025-04-21 17:48:55.361,0,0,TRUE,FALSE,0,TRUE,"19709",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"69e50da91609de0d9fa195b431604555","Traverse City","35-44","""Female""","""White / Caucasian""","""She/her""","Full-time","5,667 gross","""Data Analytics, Project Management""","""Information about other training programs""","Yes","Yes",NA,NA,2025-04-10 19:19:28.088,2025-06-10 16:56:02.206,3,1,TRUE,TRUE,0.333333333333333,TRUE,"49686",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"c3ac6e9f0854a555c4b833e0111e6494","Traverse City","35-44","""Female""","""Prefer not to answer""","""She/her""",NA,"$350","""Project Management, Cybersecurity, UX (User Experience) Design""","""Referrals to job opportunities, Practice interviewing""","Yes","Yes",NA,NA,2025-04-10 19:35:52.189,2025-06-13 17:13:11.644,2,1,TRUE,TRUE,0.5,TRUE,"49684",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a4e219028a5dcdc9fb6dc567b33da291","Traverse City","55+","""Male""","""White / Caucasian""","""He/his""",NA,"$1500","""Data Analytics, Cybersecurity""","""Referrals to job opportunities""","Yes","Yes",NA,NA,2025-05-22 20:30:45.388,2025-05-22 20:30:45.388,0,0,TRUE,FALSE,0,TRUE,"49684",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65d73cf507e5229816f75b0e4d2f3308","Windham County","18-24","""Male""","""Black or African American""","""He/his""",NA,"$2000","""Data Analytics, Project Management""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing""","Yes","Yes",NA,NA,2025-04-26 18:49:57.194,2025-05-07 18:01:19.249,1,0,TRUE,FALSE,0,TRUE,"03440",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"b8e9ee69f36aac30a5418d3a13d3f657","Traverse City","25-34","""Female""","""White / Caucasian""","""She/her""","Full-time","7000","""Data Analytics, Project Management, Cybersecurity""","""Information about other training programs""","Yes","Yes",NA,NA,2025-03-05 17:36:23.445,2025-03-05 17:38:32.642,1,0,TRUE,FALSE,0,TRUE,"49680",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"54e0c4a9710c3fea1207b9a464aa6c0c","Traverse City","25-34","""Male""","""White / Caucasian""","""He/his""","Full-time","3000","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Referrals to job opportunities""","Yes","Yes","All",NA,2025-04-29 19:32:11.869,2025-04-29 19:32:11.869,0,0,TRUE,FALSE,0,TRUE,"49684",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1cfa6f92092550615fce099eff6eb70b","Traverse City","35-44","""Female""","""White / Caucasian""","""She/her""","Full-time","3,500","""Data Analytics, Project Management, UX (User Experience) Design""","""No, I don't need additional services""","Yes","Yes",NA,NA,2025-05-14 14:43:15.31,2025-05-14 15:59:27.821,1,0,TRUE,FALSE,0,TRUE,"49685",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"d62b6db788811ca59a71ce574dca6d2a","Traverse City","55+","""Female""","""White / Caucasian""","""She/her""","Full-time","5000.00","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Resume assistance, Information about other training programs""","Yes","Yes",NA,NA,2025-03-31 17:48:39.204,2025-04-16 15:52:52.132,2,0,TRUE,FALSE,0,TRUE,"49686",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"d7883557a05dace1a88fa9f8d2dc2123","Traverse City","Unknown","""Male""","""White / Caucasian""","""He/his""","Full-time","$2,500","""UX (User Experience) Design""","""Referrals to job opportunities""","Yes","Yes","All",NA,2025-05-31 20:34:57.289,2025-05-31 20:38:58.718,1,0,TRUE,FALSE,0,TRUE,"49696",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"e4f419e96b3bff295e619904c83028ae","Traverse City","45-54","""Female""","""White / Caucasian""","""She/her""",NA,"$400","""Project Management, UX (User Experience) Design""","""Referrals to job opportunities, Job seeking skills training, Information about other training programs""","Yes","Yes","All",NA,2025-05-16 20:14:36.422,2025-06-24 00:32:15.005,2,1,TRUE,TRUE,0.5,TRUE,"49685",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
