"rin_community","cisco_id","locality","region_a","zip_code","Age group","Ethnicity","Gender identity","Employment status","Highest education level","Which certificate(s) are you most interested in?","Why do you want to complete this certificate training? Select all that apply.","Which part of the training do you think will be the most valuable? Select all that apply.","How will the skills you learn benefit you? Select all that apply.","Are you able to commit 10-15 hours per week for this training?","Do you feel you will be able to complete your certification program by Sept. 30, 2024?","This training is online. Please rate your personal computer skills.","Do you have access to a laptop, tablet or personal computer?","If no, will you need assistance finding computer access locations?","After completion of the course, which wrap-around supports will you need?","cisco_certifcation_path.x","cisco_course_current.x","Checkpoint Exam: Build a Small Network","Checkpoint Exam: Network Access","Checkpoint Exam: The Internet Protocol","Checkpoint Exam: Communication Between Networks","Checkpoint Exam: Protocols for Specific Tasks","Checkpoint Exam: Characteristics of Network Design","Checkpoint Exam: Network Addressing","Checkpoint Exam: ARP, DNS, DHCP and the Transport Layer","Checkpoint Exam: Configure Cisco Devices","Checkpoint Exam: Physical, Data Link, and Network Layers","Checkpoint Exam: IP Addressing","Checkpoint Exam: Cisco Devices and Troubleshooting Network Issues","Module 37: Assessment Quiz","Module 38: Assessment Quiz","Module 39: Assessment Quiz","Networking Essentials: Course Final Exam","Networking Essentials: Assessment( Average )","Networking Essentials: Class Grade","cisco_certifcation_path.y","cisco_course_current.y","Checkpoint Exam: Network Security","Checkpoint Exam: OS and Endpoint Security","Checkpoint Exam: Principles, Practices, and Processes of Network Defense","Checkpoint Exam: Firewalls, Cryptography, and Cloud Security.","Checkpoint Exam: Evaluating Security Alerts","Checkpoint Exam: Vulnerability Assessment and Risk Management","Checkpoint Exam: Incident Response","Cybersecurity Essentials: Course Final Exam","Cybersecurity Essentials: Assessment( Average )","Cybersecurity Essentials: Class Grade","lon","lat"
"Portsmouth","95758dc2da44ebb93edee086f1461d8b","Portsmouth","OH","45662","18-24","White","Male","Unemployed","High School/GED","Introduction to Cybersecurity (https://www.netacad.com/courses/cybersecurity)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Job seeking skills training, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-82.980173120814,38.730759423502
"Ada","c2604a0577d8e4532b31c4dfb4c3cc7d","Ada","OK","74820","25-34","White","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it, Hands on- I can work at my own schedule","Personal Growth","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",100,81,85,85,95,95,71,90,86,86,100,90,93,80,93,82,88.25,88.25,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",92,96,75,96,96,92,95,92,91.75,91.75,-96.603263565493,34.778846539705
"Chambers County","92c3113d54908de125b528807583127d","Lafayette","AL","36862","35-44","Black or African American","Female","Employed","Graduate","Introduction to Cybersecurity (https://www.netacad.com/courses/cybersecurity)","Increase my skills, Get a new or better job","Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.3989159066,32.992285574912
"Chambers County","2fdb40f318c0ee123f16cb930d348635","Camp hill","AL","36850","25-34","Black or African American","Female","Employed","Undergraduate","Introduction to Cybersecurity (https://www.netacad.com/courses/cybersecurity), CCNA 7: Introduction to Networks (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Job seeking skills training, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.552805186877,32.848008120306
"Portsmouth","4008fb9560ecdcde088f3c40549d0efa","Portsmouth","OH","45662","25-34","Black or African American","Female","Employed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-82.969459150876,38.74419933774
"Traverse City","b4a2791d4d4f3fd0903d09a8c4f459b1","Kentwood","MI","49548","25-34","White","Male","Employed","High School/GED","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.653344051678,42.870478571883
"Portsmouth","cca2f8e9392040d760e0f805325b0765","Akron","OH","44310","35-44","White","Male","Employed","Graduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","No, I don't need additional services","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",95,76,95,90,85,86,86,71,86,90,73,75,80,93,93,70,84,84,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-81.494591763312,41.097357151906
"Traverse City","27c5736f1daa7d20b0df524cc96eccf0","Boon","MI","49618","35-44","White","Female","Unemployed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Start my own business","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","No","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Traverse City","9a62b296c42f860851cdf85252827298","Traverse City","MI","49686","18-24","White","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Start my own business","All of it","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.494389559534,44.717629038553
"Ada","92f1021639f06b0d176971f81a78df54","Ada","OK","74820","18-24","American Indian or Alaska Native","Male","Student","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Start my own business","All of it","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Not at this time","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-96.672140120882,34.776748383689
"Wilson","be627bbf9786e51916cb9ec1e56cd500","Wilson","NC","27893","35-44","White","Male","Unemployed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Help start my own business","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Ada","8659299f7636cd77dab6f31cddf7241c","Ada","OK","74820","18-24","White","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","No, I don't need additional services","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-96.686720127195,34.77562818337
"Wilson","5ffb97998616f75873a179452b5a45f7","Kingsley","MI","49649","35-44","White","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Start my own business","All of it","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",100,76,70,85,90,95,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.31,37.31,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.542396074108,44.577872117574
"Wilson","7c21f59ab08adc0bbad849bd9b708443","","NC","27893","25-34","Black or African American","Male","Employed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Get a new or better job","All of it","Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77.946357549601,35.733446128298
"Wilson","e8753794cd3a57b18804a2f0ffcf59d0","Wilson","NC","27893","25-34","Black or African American","Female","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77.931823913999,35.717351131869
"Traverse City","18eed1d049c24fcf3c0d4bd0b46eae52","Traverse City","MI","49686","25-34","White","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills","Hands on- I can work at my own schedule","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs, No, I don't need additional services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.613144457603,44.735538242196
"Taos","f76d1c911b7999c4daebb3bd71e58d13","Taos","NM","87571","35-44","White","Male","Employed","Graduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills","All of it","Personal Growth","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-105.583122941612,36.384361797331
"Traverse City","51ea95243654218de5789741bb74f8e8","Vanderbilt","MI","49795","25-34","White","Male","Employed","High School/GED","Networking Essentials (https://www.netacad.com/courses/networking)","Get a new or better job","Hands on- I can work at my own schedule, I don't know","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Job seeking skills training, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.66316110149,45.123552334359
"Wilson","81698848d2bc296458d5ecda47eeaf15","Wilson","NC","27893","25-34","Black or African American","Male","Student","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Start my own business","All of it","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77.945337555138,35.708145504539
"Ada","ac6d9eaa8f6540596cebe2bb5fb60cb8","Ada","OK","74820","45-54","White","Female","Employed","Graduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","Hands on- I can work at my own schedule","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","No, I don't need additional services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-96.68301213036,34.763552593986
"Chambers County","64005a6d2a75e7df5d80a9924a90db8a","Valley","AL","36854","18-24","White","Male","Employed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",90,81,90,75,95,81,81,81,76,86,80,85,87,73,87,70,82.38,82.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.163861016226,32.84969367836
"Rutland","7a31cd85cd419cfdb237aea4a4dbdebd","","VT","05751","35-44","Black or African American","Male","Employed","Undergraduate","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth, Add to my resume, Help start my own business","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.803284083058,43.66813173348
"Traverse City","6f690af452be83e502200c9f79375fcf","Traverse city","MI","49686","18-24","White","Female","Employed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Start my own business","Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
